±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ,¹ß»ýÀÏ½Ã_³â,¹ß»ýÀÏ½Ã_¿ù,¹ß»ýÀÏ½Ã_ÀÏ,°èÀý
1.6,53,200,2.7,0,2019,1,20,°Ü¿ï
10.7,34,160,1.4,0,2018,3,22,º½
8.4,41,200,1.2,0,2019,2,27,°Ü¿ï
5.8,47,50,0.6,0,2016,2,4,°Ü¿ï
29.9,36,250,3,0,2015,6,3,¿©¸§
35,49,250,2.5,0,2018,7,29,¿©¸§
15.9,37,320,0.9,0,2016,4,11,º½
4.3,83,340,0.5,0,2016,3,18,º½
19.2,25,230,1.4,0,2018,4,21,º½
20.4,27,250,5.1,0,2017,4,29,º½
10.4,61,50,2.3,0,2013,5,6,º½
8.6,56,0,0,0,2011,4,13,º½
1.8,31,250,4.6,0,2015,3,9,º½
17.5,52,270,1.9,0,2017,4,13,º½
6.3,49,230,4.1,0,2017,3,14,º½
3.7,24,270,3.5,0,2017,3,12,º½
-5.4,36,250,0.6,0,2016,1,25,°Ü¿ï
3.9,58,320,0.5,0,2013,3,9,º½
6.3,25,270,2.6,0,2011,3,9,º½
1.7,84,0,0,0,2010,11,22,°¡À»
25.4,33,230,2.9,0,2010,5,10,º½
7.1,32,250,1.1,0,2007,3,1,º½
10.9,78,360,0.5,0,2006,5,22,º½
17.9,30,230,2.2,0,2019,5,2,º½
8.3,44,250,1.2,0,2018,3,14,º½
18.9,90,340,0.7,0,2017,6,3,¿©¸§
7,32,230,2.5,0,2015,3,7,º½
13.7,32,250,1.5,0,2019,3,12,º½
27.4,90,360,0.7,0,2018,8,1,¿©¸§
25.6,30,200,1.5,0,2017,5,7,º½
-12.9,76,90,0.8,0,2016,1,26,°Ü¿ï
12.3,19,200,1.9,0,2015,3,30,º½
2.2,48,250,2.3,0,2015,2,1,°Ü¿ï
17.3,29,90,1.3,0,2013,5,6,º½
22.1,62,360,2.3,0,2012,6,19,¿©¸§
20.8,29,160,1.3,0,2011,10,13,°¡À»
23.9,57,250,1,0,2011,6,15,¿©¸§
15,12,270,3,0,2011,4,16,º½
9.7,49,340,0.6,0,2011,4,5,º½
10.7,57,90,0.8,0,2010,11,26,°¡À»
10.2,34,290,2.1,0,2010,4,11,º½
17.7,22,200,1.7,0,2009,4,10,º½
8.5,59,270,2.8,0,2009,4,5,º½
11.5,28,290,1.7,0,2009,4,3,º½
14.1,70,140,0.8,0,2008,4,18,º½
6.3,36,270,3.6,0,2006,11,12,°¡À»
13.7,19,20,0.6,0,2005,11,17,°¡À»
