순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
210,지번,"충북	단양	영천	동대	산43-1",충청북도 단양군 매포읍 영천리 산43,,27002,128.300665,37.0690835,
211,지번,"강원	홍천	서	어유포	산67외 4필",강원도 홍천군 서면 어유포리 산67 외 4필,,25101,127.691283,37.7029838,
212,지번,"전남	해남	계곡	성진	산121",전라남도 해남군 계곡면 성진리 산121,,59018,126.657746,34.637665,
213,지번,"경남	산청	신등	간공	산4",경상남도 산청군 신등면 간공리 산4,,52254,128.06068,35.3972762,
214,지번,"경기	가평	설악	설곡	산243외9필",경기도 가평군 설악면 설곡리 산243 외9필,,12471,127.515815,37.6174682,
215,지번,"경북	영주	부석	용암	산118",경상북도 영주시 부석면 용암리 산118,,36001,128.676345,36.949301,
216,지번,"강원	양양	강현	금풍	산37",강원도 양양군 강현면 금풍리 산37,,25007,128.599319,38.1121148,
217,지번,"경북	의성	점곡	사촌	산27-1",경상북도 의성군 점곡면 사촌리 산27-1,"경상북도 의성군 점곡면 한실길 160-84, (사촌리)",37321,128.769048,36.4442264,
218,지번,"경북	영덕	지품	속곡	산125",경상북도 영덕군 지품면 속곡리 산125,,36444,129.252335,36.4764337,
219,지번,"전북	장수	산서	동화	산8",전라북도 장수군 산서면 동화리 산8,,55647,127.390115,35.6067275,
220,지번,"충남	서산	운산	고풍	산6-1",충청남도 서산시 운산면 고풍리 산6-1,,31950,126.599524,36.7954545,
221,지번,"전남	영광	염산	봉남	산123-1",전라남도 영광군 염산면 봉남리 산123-1,,57066,126.357011,35.2276361,
222,지번,"경북	경주	양남	석읍	산117",경상북도 경주시 양남면 석읍리 산117,,38216,129.410591,35.7403069,
223,지번,"전남	영광	군남	대덕	산203-1",전라남도 영광군 군남면 대덕리 산203-1,,57061,126.45776,35.2080219,
224,지번,"충북	충주	신니	화안	산50-2",충청북도 충주시 신니면 화안리 산50-2,,27458,127.719481,36.9677561,
225,지번,"전남	여수	만흥		산28-1",전라남도 여수시 만흥동 산28-1,,59621,127.744034,34.7851326,
226,지번,"전남	신안	임자	도찬	산40",전라남도 신안군 임자면 도찬리 산40,"전라남도 신안군 임자면 전장포길 945-91, (도찬리)",58800,126.147164,35.1437314,
227,지번,"경기	포천	이동	도평	산369 외 4",경기도 포천시 이동면 도평리 산369 외 4,,11110,127.386146,38.0870556,
228,지번,"경남	산청	신등	간공	산119",경상남도 산청군 신등면 간공리 산119,,52254,128.037943,35.3923633,
229,지번,"경북	영주	이산	신암	산47",경상북도 영주시 이산면 신암리 산47,,36169,128.694433,36.8616493,
230,지번,"경남	마산	진동	요장	산142-1",경상남도 창원시 마산합포구 진동면 요장리 산142-1,,51791,128.505856,35.1056344,
